,Name,Party,Membership,start_date,end_date,Active
0,Ms Diane Abbott,Independent,Hackney North and Stoke Newington,1987-06-11T00:00:00,,True
1,Lord Aberconway,Conservative,Hereditary,1953-05-23T00:00:00,1999-11-11T00:00:00,
2,The Duke of Abercorn,Conservative,Hereditary,1979-06-04T00:00:00,1999-11-11T00:00:00,
3,Lord Aberdare,Conservative,Excepted Hereditary,1957-12-18T00:00:00,2005-01-23T00:00:00,
4,Lord Aberdare,Crossbench,Excepted Hereditary,2009-07-20T00:00:00,,True
5,Marquess of Aberdeen and Temair,Crossbench,Hereditary,1984-09-06T00:00:00,1999-11-11T00:00:00,
6,Marquess of Abergavenny,Crossbench,Hereditary,1954-03-30T00:00:00,1999-11-11T00:00:00,
7,Lord Abinger,Conservative,Hereditary,1943-07-21T00:00:00,1999-11-11T00:00:00,
8,Debbie Abrahams,Labour,Oldham East and Saddleworth,2011-01-13T00:00:00,,True
9,Leo Abse,Labour,Torfaen,1958-11-10T00:00:00,1987-06-11T00:00:00,
10,Lord Ackner,Crossbench,Life Peer (judicial),1986-01-30T00:00:00,2006-03-21T00:00:00,
11,Lord Acton,Labour,Hereds given LPs,2000-04-17T00:00:00,2010-10-10T00:00:00,
12,Allen Adams,Labour,Paisley North,1979-05-03T00:00:00,1990-09-05T00:00:00,
13,Mr Gerry Adams,Sinn F̩in,Belfast West,1997-05-01T00:00:00,2011-01-26T00:00:00,
14,Nigel Adams,Conservative,Selby and Ainsty,2010-05-06T00:00:00,2023-06-12T00:00:00,
15,Baroness Adams of Craigielea,Labour,Life peer,2005-06-28T00:00:00,,True
16,Lord Addington,Liberal Democrat,Excepted Hereditary,1986-06-17T00:00:00,,True
17,Viscount Addison,Conservative,Hereditary,1992-03-23T00:00:00,1999-11-11T00:00:00,
18,Lord Adebowale,Crossbench,Life peer,2001-06-30T00:00:00,,True
19,Robert Adley,Conservative,Christchurch,1970-06-18T00:00:00,1993-05-13T00:00:00,
