Source,Link
Abascience Tech Co. Ltd.,/suppliers/abascience-tech-co-ltd
Abbas Haider,/suppliers/abbas-haider
Abdul Qadeer Khan,/suppliers/abdul-qadeer-khan
Abdullah Poor Nagar,/suppliers/abdullah-poor-nagar
Ace Hub System SDN BHD,/suppliers/ace-hub-system-sdn-bhd
ACTeam Logistics Ltd.,/suppliers/acteam-logistics-ltd
Aerospace Logistics Services,/suppliers/aerospace-logistics-services
African Amines (Pty) Limited,/suppliers/african-amines-pty-limited
Air Rig Inc.,/suppliers/air-rig-inc
Aizaz Jaffery,/suppliers/aizaz-jaffery
Al Ras Gate General Trading,/suppliers/al-ras-gate-general-trading
Al-Faris,/suppliers/al-faris
Alex Ramzi,/suppliers/alex-ramzi
Ali Akbar Yahya,/suppliers/ali-akbar-yahya
Alireza Moazami Goudarzi,/suppliers/alireza-moazami-goudarzi
"Allied Telesis Labs, Inc.",/suppliers/allied-telesis-labs-inc
Amir Ghasemi,/suppliers/amir-ghasemi
ANA Training Ltd.,/suppliers/ana-training-ltd
"Andrew A. Adams, Equipment and Supply International",/suppliers/andrew-adams-equipment-and-supply-international
Andro Telemi,/suppliers/andro-telemi
"Anhui Land Group Co., Limited",/suppliers/anhui-land-group-co-limited
Atlinx Electronics,/suppliers/atlinx-electronics
"Atomenergoproekt State Planning and Design, Research and Survey Institute",/suppliers/atomenergoproekt-state-planning-and-design-research-and-survey-institute
Atomstroyexport (ASE),/suppliers/atomstroyexport-ase
Aviation Services International B.V.,/suppliers/aviation-services-international-bv
Beijing MicroPilot UAV Flight Control Systems,/suppliers/beijing-micropilot-uav-flight-control-systems
A China-based company that sells complete unmanned aerial vehicles (UAVs) as well as autopilot systems and engines for UAVs.,
ROV Solutions,/suppliers/rov-solutions
"A subsea engineering consultancy based in the Republic of Georgia and Hong Kong; according to the U.S. Department of Commerce, part of a network used to supply Iran with U.S.-origin items that would provide material support to Iran's military industries in violation of U.S. export controls.",
"Avin Electronics Technology Co., Ltd.",/suppliers/avin-electronics-technology-co-ltd
Avtomatika Zavod (CKBA),/suppliers/avtomatika-zavod-ckba
Baktash Fattahi,/suppliers/baktash-fattahi
Baltic State Technical University,/suppliers/baltic-state-technical-university
Beijing Alite Technologies Company,/suppliers/beijing-alite-technologies-company
Beijing Institute of Geology Airborne Measurement and Remote Sensing Research Center,/suppliers/beijing-institute-geology-airborne-measurement-and-remote-sensing-research-center
Beijing Institute of Opto-Electronic Technology (BIOET),/suppliers/beijing-institute-opto-electronic-technology-bioet
Beijing MicroPilot UAV Flight Control Systems,/suppliers/beijing-micropilot-uav-flight-control-systems
Beijing Research Institute of Uranium Geology (BRIUG),/suppliers/beijing-research-institute-uranium-geology-briug
"Belfast General Trading, LLC",/suppliers/belfast-general-trading-llc
Bellamax (China),/suppliers/bellamax-china
Belvneshpromservice,/suppliers/belvneshpromservice
Bestway Line FZCO,/suppliers/bestway-line-fzco
Bharat Electronics Ltd. (BEL),/suppliers/bharat-electronics-ltd-bel
Blagoja Samakoski,/suppliers/blagoja-samakoski
"Bochuang Ceramic, Inc.",/suppliers/bochuang-ceramic-inc
Buehler Limited,/suppliers/buehler-limited
Bukovyna Airlines,/suppliers/bukovyna-airlines
Cagri Duransoy,/suppliers/cagri-duransoy
Candid General Trading LLC,/suppliers/candid-general-trading-llc
Carol Zhou,/suppliers/carol-zhou
Central Aerohydrodynamic Institute (TsAGI),/suppliers/central-aerohydrodynamic-institute-tsagi
Chae Hyok Mu,/suppliers/chae-hyok-mu
Changgwang Sinyong Corporation,/suppliers/changgwang-sinyong-corporation
Chen Mingfu,/suppliers/chen-mingfu
Beijing MicroPilot UAV Flight Control Systems,/suppliers/beijing-micropilot-uav-flight-control-systems
A China-based company that sells complete unmanned aerial vehicles (UAVs) as well as autopilot systems and engines for UAVs.,
ROV Solutions,/suppliers/rov-solutions
"A subsea engineering consultancy based in the Republic of Georgia and Hong Kong; according to the U.S. Department of Commerce, part of a network used to supply Iran with U.S.-origin items that would provide material support to Iran's military industries in violation of U.S. export controls.",
Chen Qingchang (Chinese citizen),/suppliers/chen-qingchang-chinese-citizen
Chengdu Best New Materials Co. Ltd.,/suppliers/chengdu-best-new-materials-co-ltd
Cheong Yee Limited,/suppliers/cheong-yee-limited
Chernyshev Moscow Machine Building Enterprise,/suppliers/chernyshev-moscow-machine-building-enterprise
China Academy of Aerospace Aerodynamics,/suppliers/china-academy-aerospace-aerodynamics
China Aerospace Science and Technology Corporation (CASC),/suppliers/china-aerospace-science-technology-corporation-casc
China Great Wall Industry Corporation (CGWIC),/suppliers/china-great-wall-industry-corporation-cgwic
China National Aero-Technology Import-Export Corporation (CATIC),/suppliers/china-national-aero-technology-import-export-corporation-catic
China National Electronics Import-Export Corporation (CEIEC),/suppliers/china-national-electronics-import-export-corporation-ceiec
China National Non-metallic Minerals Industrial Import and Export Corporation (CNMIEC),/suppliers/china-national-non-metallic-minerals-industrial-import-and-export-corporation-cnmiec
China National Non-metallic Minerals Industry Corporation (Group) (CNMC),/suppliers/china-national-non-metallic-minerals-industry-corporation-group-cnmc
China North Chemical Industries Corporation (NOCINCO),/suppliers/china-north-chemical-industries-corporation-nocinco
China North Industries Corporation (NORINCO),/suppliers/china-north-industries-corporation-norinco
China Nuclear Energy Industry Corporation (CNEIC),/suppliers/china-nuclear-energy-industry-corporation-cneic
China Precision Engineering Institute for Aircraft Industry (CPEI),/suppliers/china-precision-engineering-institute-aircraft-industry-cpei
China Precision Machinery Import-Export Corporation (CPMIEC),/suppliers/china-precision-machinery-import-export-corporation-cpmiec
China Shipbuilding Trading Company (CSTC),/suppliers/china-shipbuilding-trading-company-cstc
Cho Myong Ho,/suppliers/cho-myong-ho
Choe Pyong Wan,/suppliers/choe-pyong-wan
Choe Song Hyok,/suppliers/choe-song-hyok
Computer & Communicatii SRL,/suppliers/computer-communicatii-srl
Concepto Screen SAL Off-Shore,/suppliers/concepto-screen-sal-shore
Cosailing Business Trading Company Limited,/suppliers/cosailing-business-trading-company-limited
Cryostar-France SA,/suppliers/cryostar-france-sa
Cuanta SA,/suppliers/cuanta-sa
Beijing MicroPilot UAV Flight Control Systems,/suppliers/beijing-micropilot-uav-flight-control-systems
A China-based company that sells complete unmanned aerial vehicles (UAVs) as well as autopilot systems and engines for UAVs.,
ROV Solutions,/suppliers/rov-solutions
"A subsea engineering consultancy based in the Republic of Georgia and Hong Kong; according to the U.S. Department of Commerce, part of a network used to supply Iran with U.S.-origin items that would provide material support to Iran's military industries in violation of U.S. export controls.",
D. I. Mendeleyev University of Chemical Technology (MUCT),/suppliers/d-i-mendeleyev-university-chemical-technology-muct
D. V. Efremov Scientific Research Institute of Electrophysical Apparatus,/suppliers/d-v-efremov-scientific-research-institute-electrophysical-apparatus
Daniel Frosch,/suppliers/daniel-frosch
David Chu,/suppliers/david-chu
David Levick,/suppliers/david-levick
Davoud Baniameri,/suppliers/davoud-baniameri
"DES International Co., Ltd.",/suppliers/des-international-co-ltd
Djamshid Nezhad,/suppliers/djamshid-nezhad
Dr. C. Surendar,/suppliers/dr-c-surendar
Dr. Y. S. R. Prasad,/suppliers/dr-y-s-r-prasad
Eco Biochem Sdn Bhd,/suppliers/eco-biochem-sdn-bhd
Eddie Johansson,/suppliers/eddie-johansson
Electrogorsk Research and Engineering Center on Nuclear Power Plants Safety,/suppliers/electrogorsk-research-and-engineering-center-nuclear-power-plants-safety
Elektrosila,/suppliers/elektrosila
Elmstone Service and Trading FZE (LLC),/suppliers/elmstone-service-and-trading-fze-llc
Emily Liu,/suppliers/emily-liu
En-Wei Eric Chang,/suppliers/en-wei-eric-chang
"Eren Carbon Graphite Industrial Trading Company, Ltd.",/suppliers/eren-carbon-graphite-industrial-trading-company-ltd
Eslem Global Pazarlama Sanayi ve Ticaret,/suppliers/eslem-global-pazarlama-sanayi-ve-ticaret
Europalace 2000,/suppliers/europalace-2000
Eva-Marie Hack,/suppliers/eva-marie-hack
Evertop Services Sdn Bhd,/suppliers/evertop-services-sdn-bhd
Experimental Design Bureau Hydropress,/suppliers/experimental-design-bureau-hydropress
Fairway Shipping Limited,/suppliers/fairway-shipping-limited
Farrokh Nia Yaghmaei,/suppliers/farrokh-nia-yaghmaei
Beijing MicroPilot UAV Flight Control Systems,/suppliers/beijing-micropilot-uav-flight-control-systems
A China-based company that sells complete unmanned aerial vehicles (UAVs) as well as autopilot systems and engines for UAVs.,
ROV Solutions,/suppliers/rov-solutions
"A subsea engineering consultancy based in the Republic of Georgia and Hong Kong; according to the U.S. Department of Commerce, part of a network used to supply Iran with U.S.-origin items that would provide material support to Iran's military industries in violation of U.S. export controls.",
Farshid Gillardian,/suppliers/farshid-gillardian
Feroz Khan,/suppliers/feroz-khan
"First East Export Bank, P.L.C.",/suppliers/first-east-export-bank-plc
Firstfield Engineering,/suppliers/firstfield-engineering
Fulya Kalafatoglu Oguzturk,/suppliers/fulya-kalafatoglu-oguzturk
G. K. Shkinov,/suppliers/g-k-shkinov
GBC Scientific Equipment Pty Ltd.,/suppliers/gbc-scientific-equipment-pty-ltd
Gensis Engineering,/suppliers/gensis-engineering
Ghobad Ghasempour,/suppliers/ghobad-ghasempour
Glavkosmos,/suppliers/glavkosmos
Goktan Gokdag,/suppliers/goktan-gokdag
Goodly Industrial Company Ltd.,/suppliers/goodly-industrial-company-ltd
Gotthard Lerch,/suppliers/gotthard-lerch
Great Wall Airlines,/suppliers/great-wall-airlines
"Green Wave Telecommunication, Sdn Bhn",/suppliers/green-wave-telecommunication-sdn-bhn
Ha Chong Kuk,/suppliers/ha-chong-kuk
Halkbank,/suppliers/halkbank
Hamid Reza Kargar,/suppliers/hamid-reza-kargar
Harold Hemming,/suppliers/harold-hemming
Hassan Saied Keshari,/suppliers/hassan-saied-keshari
"Heli-Ocean Technology Co., Ltd.",/suppliers/heli-ocean-technology-co-ltd
"Heli-World Aviation, Ltd.",/suppliers/heli-world-aviation-ltd
"Henan Jiayuan Aluminum Industry Co., Ltd",/suppliers/henan-jiayuan-aluminum-industry-co-ltd
Hong Hak Chol,/suppliers/hong-hak-chol
Hong Kong Cheung Wah Electronics Technology Company Limited,/suppliers/hong-kong-cheung-wah-electronics-technology-company-limited
Beijing MicroPilot UAV Flight Control Systems,/suppliers/beijing-micropilot-uav-flight-control-systems
A China-based company that sells complete unmanned aerial vehicles (UAVs) as well as autopilot systems and engines for UAVs.,
ROV Solutions,/suppliers/rov-solutions
"A subsea engineering consultancy based in the Republic of Georgia and Hong Kong; according to the U.S. Department of Commerce, part of a network used to supply Iran with U.S.-origin items that would provide material support to Iran's military industries in violation of U.S. export controls.",
Hossein Pournaghshband,/suppliers/hossein-pournaghshband
Hyper Systems Union Limited,/suppliers/hyper-systems-union-limited
In-Tech Company,/suppliers/tech-company
Industrial Scientific Corporation (ISC),/suppliers/industrial-scientific-corporation-isc
Inor,/suppliers/inor
Institute of Industrial Control Systems (IICS),/suppliers/institute-industrial-control-systems-iics
Institute of Reactor Materials (IRM),/suppliers/institute-reactor-materials-irm
Integrated Scientific Microwave Technology,/suppliers/integrated-scientific-microwave-technology
Izhora Plant Joint-Stock Company,/suppliers/izhora-plant-joint-stock-company
Jabal Damavand General Trading Company,/suppliers/jabal-damavand-general-trading-company
James Larrison,/suppliers/james-larrison
Jami S. Choudhury,/suppliers/jami-s-choudhury
Jamshid Ghassemi,/suppliers/jamshid-ghassemi
"Jetpower Industrial, Ltd.",/suppliers/jetpower-industrial-ltd
Jiangsu Yongli Chemical Engineering and Technology Import-Export Corporation,/suppliers/jiangsu-yongli-chemical-engineering-and-technology-import-export-corporation
Jilani Humayun,/suppliers/jilani-humayun
Jirair Avanessian,/suppliers/jirair-avanessian
Joint Stock Company Atommash,/suppliers/joint-stock-company-atommash
Joint Stock Company Leningradsky Metallichesky Zavod (LMZ),/suppliers/joint-stock-company-leningradsky-metallichesky-zavod-lmz
Jungda International Pte. Ltd,/suppliers/jungda-international-pte-ltd
Kaam Chee Mun,/suppliers/kaam-chee-mun
KBP Instrument Design Bureau,/suppliers/kbp-instrument-design-bureau
Khaled Al Taher,/suppliers/khaled-al-taher
Khazra Trading,/suppliers/khazra-trading
Kim Chang Rok,/suppliers/kim-chang-rok
Beijing MicroPilot UAV Flight Control Systems,/suppliers/beijing-micropilot-uav-flight-control-systems
A China-based company that sells complete unmanned aerial vehicles (UAVs) as well as autopilot systems and engines for UAVs.,
ROV Solutions,/suppliers/rov-solutions
"A subsea engineering consultancy based in the Republic of Georgia and Hong Kong; according to the U.S. Department of Commerce, part of a network used to supply Iran with U.S.-origin items that would provide material support to Iran's military industries in violation of U.S. export controls.",
Kim Ho Chol,/suppliers/kim-ho-chol
Kim Won Il,/suppliers/kim-won-il
Korea Mining Development Trading Corporation (KOMID),/suppliers/korea-mining-development-trading-corporation-komid
Kunlin Hsieh,/suppliers/kunlin-hsieh
Landstar Tech Company Ltd.,/suppliers/landstar-tech-company-ltd
Laura Wang-Woodford,/suppliers/laura-wang-woodford
Li Fang Wei,/suppliers/li-fang-wei
Liao Minglong (Chinese citizen),/suppliers/liao-minglong-chinese-citizen
LIMMT Metallurgy and Minerals Company Ltd.,/suppliers/limmt-metallurgy-minerals-company-ltd
Liyang Chemical Equipment Company,/suppliers/liyang-chemical-equipment-company
Lizen Open Joint Stock Company,/suppliers/lizen-open-joint-stock-company
Ma Chol Won,/suppliers/ma-chol-won
MAAA Synergy,/suppliers/maaa-synergy
Mabrooka Trading Co L.L.C.,/suppliers/mabrooka-trading-co-llc
Mac Aviation Group,/suppliers/mac-aviation-group
Macpar Makina San Ve Tic A.S.,/suppliers/macpar-makina-san-ve-tic
Mahmoud Seif,/suppliers/mahmoud-seif
Mahmoud Yadegari,/suppliers/mahmoud-yadegari
Majid Kakavand,/suppliers/majid-kakavand
Majid Seif,/suppliers/majid-seif
Majidco Micro Electronics,/suppliers/majidco-micro-electronics
Marzoghi Ltd.,/suppliers/marzoghi-ltd
Mayrow General Trading,/suppliers/mayrow-general-trading
MCES,/suppliers/mces
Mehmet Yari,/suppliers/mehmet-yari
Beijing MicroPilot UAV Flight Control Systems,/suppliers/beijing-micropilot-uav-flight-control-systems
A China-based company that sells complete unmanned aerial vehicles (UAVs) as well as autopilot systems and engines for UAVs.,
ROV Solutions,/suppliers/rov-solutions
"A subsea engineering consultancy based in the Republic of Georgia and Hong Kong; according to the U.S. Department of Commerce, part of a network used to supply Iran with U.S.-origin items that would provide material support to Iran's military industries in violation of U.S. export controls.",
Mehrdad Salashoor,/suppliers/mehrdad-salashoor
"Mercator, Inc.",/suppliers/mercator-inc
Metal & Mineral Trade Sarl.,/suppliers/metal-mineral-trade-sarl-mmt
Micatic General Trading,/suppliers/micatic-general-trading
Mikrosam,/suppliers/mikrosam
Mir Hossein Ghaemi,/suppliers/mir-hossein-ghaemi
Modern Technologies FZC,/suppliers/modern-technologies-fzc
Modo International,/suppliers/modo-international
Mohammad Akhavan Nik,/suppliers/mohammad-akhavan-nik
